mciId,classification,repairRounds,goalAchieved,mutationRegressed,aiAuditRisk,diffFile,totalSeconds,generationSeconds,totalTokens,cacheHit
HttpServletRequest::1,SUCCESS,0,True,False,LOW,diffs/HttpServletRequest__1.diff,1961.55,929.05,346966,False
Injector::1,SUCCESS,0,True,False,LOW,diffs/Injector__1.diff,417.96,175.96,94614,False
Injector::2,SUCCESS,0,True,False,LOW,diffs/Injector__2.diff,932.6,300.27,132737,False
Binding<SslContextFactory.Server>::1,SUCCESS,1,True,False,LOW,diffs/Binding_SslContextFactory.Server___1.diff,485.36,135.99,92933,False
org.apache.druid.server.security.TLSCertificateChecker::1,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.server.security.TLSCertificateChecker__1.diff,172.62,19.38,36314,False
org.apache.druid.query.groupby.epinephelinae.column.GroupByColumnSelectorPlus::1,ENVIRONMENT_NOT_READY,0,,,,,,,0,False
org.apache.druid.java.util.emitter.service.ServiceEmitter::2,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.java.util.emitter.service.ServiceEmitter__2.diff,320.03,9.07,35446,False
org.apache.druid.data.input.HandlingInputRowIterator.InputRowHandler::1,ENVIRONMENT_NOT_READY,0,,,,,,,0,False
org.apache.druid.server.initialization.jetty.JettyServerInitializer::1,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.server.initialization.jetty.JettyServerInitializer__1.diff,158.05,7.52,35344,False
org.apache.druid.metadata.SegmentsMetadataManagerConfig::1,SUCCESS,0,True,False,LOW,diffs/org.apache.druid.metadata.SegmentsMetadataManagerConfig__1.diff,502.37,84.01,94183,False
