mciId,classification,repairRounds,goalAchieved,mutationRegressed,aiAuditRisk,diffFile,totalSeconds,generationSeconds,totalTokens,cacheHit
Response::1,SUCCESS,0,True,False,LOW,diffs/Response__1.diff,66.22,0.0,35050,False
java.net.ProxySelector::1,SUCCESS,0,True,False,LOW,diffs/java.net.ProxySelector__1.diff,194.1,0.0,34394,False
var::1,SUCCESS,0,True,False,LOW,diffs/var__1.diff,429.23,0.0,72600,False
var::2,SUCCESS,0,True,False,LOW,diffs/var__2.diff,35.68,0.0,10979,False
var::3,SUCCESS,0,True,False,LOW,diffs/var__3.diff,82.16,0.0,18029,False
var::4,SUCCESS,0,True,False,LOW,diffs/var__4.diff,32.93,0.0,18752,False
com.microsoft.kiota.serialization.SerializationWriter::1,SUCCESS,0,True,False,LOW,diffs/com.microsoft.kiota.serialization.SerializationWriter__1.diff,80.98,0.0,54819,False
com.microsoft.kiota.serialization.SerializationWriter::2,SUCCESS,0,True,False,LOW,diffs/com.microsoft.kiota.serialization.SerializationWriter__2.diff,43.58,0.0,51298,False
Request::1,SUCCESS,0,True,False,LOW,diffs/Request__1.diff,39.68,0.0,33645,False
com.microsoft.kiota.RequestAdapter::1,SUCCESS,0,True,False,LOW,diffs/com.microsoft.kiota.RequestAdapter__1.diff,35.95,0.0,49826,False
com.microsoft.kiota.http.middleware.options.RetryHandlerOption::1,SUCCESS,0,True,False,LOW,diffs/com.microsoft.kiota.http.middleware.options.RetryHandlerOption__1.diff,53.85,0.0,34982,False
Span::1,SUCCESS,0,True,False,LOW,diffs/Span__1.diff,78.4,0.0,31688,False
com.microsoft.kiota.serialization.ParseNodeFactory::1,SUCCESS,0,True,False,LOW,diffs/com.microsoft.kiota.serialization.ParseNodeFactory__1.diff,40.46,0.0,20176,False
com.microsoft.kiota.serialization.ParseNode::1,SUCCESS,0,True,False,LOW,diffs/com.microsoft.kiota.serialization.ParseNode__1.diff,22.9,0.0,18093,False
