mciId,classification,repairRounds,goalAchieved,mutationRegressed,aiAuditRisk,diffFile,totalSeconds,generationSeconds,totalTokens,cacheHit
org.apache.cloudstack.backup.BackupVO::9,SUCCESS,0,True,False,LOW,diffs/org.apache.cloudstack.backup.BackupVO__9.diff,352.85,26.01,50249,False
org.apache.cloudstack.backup.BackupVO::8,SUCCESS,0,True,False,LOW,diffs/org.apache.cloudstack.backup.BackupVO__8.diff,50.29,43.85,119344,False
org.apache.cloudstack.backup.BackupVO::7,SUCCESS,0,True,False,LOW,diffs/org.apache.cloudstack.backup.BackupVO__7.diff,166.68,65.92,151194,False
org.apache.cloudstack.backup.BackupVO::6,SUCCESS,0,True,False,LOW,diffs/org.apache.cloudstack.backup.BackupVO__6.diff,118.43,12.56,66425,False
org.apache.cloudstack.backup.BackupVO::5,SUCCESS,0,True,False,LOW,diffs/org.apache.cloudstack.backup.BackupVO__5.diff,148.14,57.44,97384,False
org.apache.cloudstack.backup.BackupVO::4,SUCCESS,1,True,False,LOW,diffs/org.apache.cloudstack.backup.BackupVO__4.diff,203.17,58.75,67903,False
org.apache.cloudstack.backup.BackupVO::3,ENVIRONMENT_NOT_READY,0,,,,,,,0,False
org.apache.cloudstack.backup.BackupVO::2,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/org.apache.cloudstack.backup.BackupVO__2.diff,224.22,43.39,69877,False
org.apache.cloudstack.backup.BackupVO::1,SUCCESS,0,True,False,LOW,diffs/org.apache.cloudstack.backup.BackupVO__1.diff,31.28,27.44,40314,False
org.apache.cloudstack.api.command.admin.config.ListCfgsByCmd::1,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/org.apache.cloudstack.api.command.admin.config.ListCfgsByCmd__1.diff,157.44,27.5,61284,False
com.cloud.domain.DomainVO::8,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/com.cloud.domain.DomainVO__8.diff,210.05,33.38,29945,False
com.cloud.domain.DomainVO::7,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/com.cloud.domain.DomainVO__7.diff,222.67,9.05,34598,False
